8, 1, 1, 11, 11, SV
11, 1, 1, 30, 48, OV
11, 1, 1, 30, 48, OV
8, 1, 11, 11, 17, SV
11, 1, 12, 30, 50, OV
11, 1, 12, 30, 50, OV
6, 1, 17, 11, 20, V
7, 1, 28, 13, 21, OV
7, 1, 33, 11, 16, SOV
9, 1, 34, 19, 20, SXV
6, 1, 35, 8, 10, OV
6, 1, 35, 8, 10, SV
5, 1, 36, 8, 10, SV
5, 1, 36, 8, 10, OV
11, 1, 38, 32, 42, SXV
11, 1, 40, 31, 32, OV
11, 1, 40, 31, 32, OV
6, 1, 43, 9, 13, V
5, 1, 44, 6, 8, V
7, 1, 46, 13, 16, OV
16, 1, 47, 42, 84, XV
16, 1, 47, 42, 84, OV
13, 1, 48, 28, 66, SXV
13, 1, 48, 28, 66, SV
9, 1, 50, 20, 26, XV
8, 1, 73, 12, 20, OV
12, 1, 91, 33, 57, SV
7, 1, 98, 12, 13, SOV
14, 1, 103, 40, 65, OV
7, 1, 107, 11, 21, V
19, 1, 111, 51, 147, OV
19, 1, 111, 51, 147, OV
11, 1, 113, 20, 32, SV
9, 1, 114, 16, 36, OV
10, 1, 124, 23, 50, XVS
5, 2, 38, 6, 8, SV
10, 2, 40, 25, 34, SV
6, 2, 69, 9, 16, OV
8, 2, 85, 18, 20, OV
7, 2, 86, 15, 19, OV
16, 2, 87, 41, 72, OV
16, 2, 87, 41, 72, OV
9, 2, 88, 16, 38, OV
7, 3, 5, 12, 16, SV
11, 3, 6, 27, 34, OV
9, 3, 7, 24, 19, SV
9, 3, 7, 24, 19, V
12, 3, 10, 33, 57, OV
5, 3, 17, 7, 10, V
12, 3, 20, 30, 37, V
12, 3, 20, 30, 37, OV
12, 3, 21, 29, 32, OV
15, 3, 22, 41, 92, SOV
7, 3, 25, 11, 15, XV
7, 3, 25, 11, 15, OV**
19, 3, 27, 64, 123, VS
7, 3, 30, 11, 11, V
15, 3, 31, 41, 86, XOV
12, 3, 42, 34, 37, OV
12, 3, 42, 34, 37, OV
10, 3, 43, 21, 24, V
10, 3, 45, 25, 25, SV
10, 3, 49, 24, 28, SV
10, 3, 53, 26, 25, OV
12, 3, 54, 34, 48, SV
13, 3, 58, 33, 64, XV
10, 3, 59, 22, 40, SV
10, 3, 59, 22, 40, OV
9, 3, 60, 20, 19, V
7, 3, 63, 11, 11, OV
6, 3, 65, 9, 13, OV
7, 3, 69, 11, 12, OV
9, 3, 71, 20, 20, OV
7, 3, 77, 12, 14, XV
10, 3, 78, 21, 29, OV
11, 3, 79, 28, 42, oV
11, 3, 79, 28, 42, OV**
10, 3, 80, 25, 31, OV
7, 3, 81, 17, 19, SV
8, 3, 83, 18, 33, OV
11, 3, 87, 24, 43, SV
9, 3, 88, 18, 18, OV
6, 3, 92, 8, 9, OV
14, 3, 95, 36, 53, OV
14, 3, 95, 36, 53, SV
14, 3, 95, 36, 53, OV
8, 3, 96, 18, 23, VS
9, 3, 97, 18, 32, SOV
16, 3, 105, 50, 86, OV
16, 3, 105, 50, 86, SV
6, 3, 112, 9, 19, OV
7, 3, 113, 13, 14, OV
11, 3, 120, 29, 44, SV
10, 3, 121, 30, 22, OV
10, 3, 123, 22, 23, V
14, 3, 125, 37, 41, V
14, 3, 125, 37, 41, V
14, 3, 127, 51, 61, OV
8, 3, 128, 13, 13, SV
7, 3, 133, 13, 16, SV
7, 3, 135, 9, 19, XV
6, 3, 139, 9, 11, OV
12, 3, 143, 30, 46, OV
12, 3, 143, 30, 46, V
12, 3, 143, 30, 46, OV
8, 3, 144, 15, 17, OV
13, 3, 146, 36, 46, XSV
13, 3, 146, 36, 46, V
11, 3, 148, 25, 39, OV
11, 3, 148, 25, 39, SX
11, 3, 149, 24, 49, OV
11, 3, 149, 24, 49, V
9, 3, 150, 21, 27, SOV
9, 3, 153, 21, 32, OV
9, 3, 160, 20, 24, OV
5, 3, 164, 7, 9, V
9, 3, 171, 17, 37, V
9, 3, 171, 17, 37, SV
